"Site ID","Timestamp","Storage Water Level (m)","Quality code (Storage Water Level)","","Quality code","Quality code definition",""
"212243","28-Jul-1977 09:00","115.36","4","","2","TS - Data adjusted during processing",""
"212243","29-Jul-1977 09:00","115.344","4","","3","RATINGS/TS - No data in the period have been adjusted from sensing system measurement in any way",""
"212243","04-Aug-1977 09:00","115.304","4","","4","TS - Data adjusted during processing",""
"212243","06-Sep-1977 09:00","115.214","6","","6","GAUGINGS/TS - Best available gauging; Pre 2024 - Good Gauging to AS3778; TS - Data adjusted during processing",""
"212243","05-Oct-1977 09:00","115.316","6","","8","TS - Data adjusted during processing",""
"212243","10-Oct-1977 09:00","115.26","6","","10","TS - Data adjusted during processing",""
"212243","13-Oct-1977 09:00","115.208","6","","51","TS/GAUGINGS - Data Estimated or Indirect measurement",""
"212243","14-Oct-1977 09:00","115.188","6","","130","Not quality coded - subject to change",""
"212243","16-Oct-1977 09:00","115.163","6","","","",""
"212243","26-Oct-1977 09:00","114.962","6","","","",""
"212243","31-Oct-1977 09:00","114.826","6","","","",""
"212243","08-Nov-1977 09:00","114.711","6","","","",""
"212243","19-Nov-1977 09:00","114.421","6","","","",""
"212243","20-Nov-1977 09:00","114.391","6","","","",""
"212243","22-Nov-1977 09:00","114.358","6","","","",""
"212243","26-Nov-1977 09:00","114.291","6","","","",""
"212243","06-Dec-1977 09:00","114.084","4","","","",""
"212243","10-Dec-1977 09:00","113.963","4","","","",""
"212243","11-Dec-1977 09:00","113.943","4","","","",""
"212243","14-Dec-1977 09:00","113.843","4","","","",""
"212243","20-Dec-1977 09:00","113.641","4","","","",""
"212243","22-Dec-1977 09:00","113.581","4","","","",""
"212243","23-Dec-1977 09:00","113.541","4","","","",""
"212243","07-Jan-1978 09:00","113.29","4","","","",""
"212243","11-Jan-1978 09:00","113.261","4","","","",""
"212243","21-Jan-1978 09:00","113.181","4","","","",""
"212243","29-Jan-1978 09:00","113.671","4","","","",""
"212243","06-Feb-1978 09:00","113.151","4","","","",""
"212243","18-Feb-1978 09:00","112.991","4","","","",""
"212243","08-Mar-1978 09:00","112.708","4","","","",""
"212243","18-Mar-1978 09:00","112.523","4","","","",""
"212243","19-Mar-1978 09:00","112.631","4","","","",""
"212243","20-Mar-1978 09:00","115.03","4","","","",""
"212243","21-Mar-1978 09:00","117.64","4","","","",""
"212243","23-Mar-1978 09:00","116.363","4","","","",""
"212243","24-Mar-1978 09:00","116.789","4","","","",""
"212243","09-Apr-1978 09:00","116.742","6","","","",""
"212243","12-Apr-1978 09:00","116.798","6","","","",""
"212243","26-Apr-1978 09:00","116.389","6","","","",""
"212243","05-May-1978 09:00","116.34","6","","","",""
"212243","22-May-1978 09:00","116.662","4","","","",""
"212243","01-Jun-1978 09:00","116.603","4","","","",""
"212243","03-Jun-1978 09:00","117.061","4","","","",""
"212243","14-Jun-1978 09:00","116.729","6","","","",""
"212243","21-Jun-1978 09:00","116.807","6","","","",""
"212243","09-Jul-1978 09:00","116.791","6","","","",""
"212243","16-Jul-1978 09:00","116.645","6","","","",""
"212243","18-Jul-1978 09:00","116.574","6","","","",""
"212243","24-Jul-1978 09:00","116.461","6","","","",""
"212243","26-Jul-1978 09:00","116.556","6","","","",""
"212243","27-Jul-1978 09:00","116.537","6","","","",""
"212243","01-Aug-1978 09:00","116.418","6","","","",""
"212243","09-Sep-1978 09:00","116.645","4","","","",""
"212243","10-Sep-1978 09:00","116.801","4","","","",""
"212243","15-Sep-1978 09:00","116.694","51","","","",""
"212243","17-Sep-1978 09:00","116.63","51","","","",""
"212243","20-Sep-1978 09:00","116.551","6","","","",""
"212243","29-Sep-1978 09:00","116.44","6","","","",""
"212243","01-Oct-1978 09:00","116.435","6","","","",""
"212243","06-Oct-1978 09:00","116.386","6","","","",""
"212243","11-Oct-1978 09:00","116.389","6","","","",""
"212243","14-Oct-1978 09:00","116.365","6","","","",""
"212243","31-Oct-1978 09:00","116.328","4","","","",""
"212243","08-Nov-1978 09:00","116.504","4","","","",""
"212243","13-Nov-1978 09:00","116.792","4","","","",""
"212243","16-Nov-1978 09:00","116.765","6","","","",""
"212243","01-Dec-1978 09:00","116.319","6","","","",""
"212243","12-Dec-1978 09:00","116.246","6","","","",""
"212243","22-Dec-1978 09:00","116.181","6","","","",""
"212243","24-Dec-1978 09:00","116.156","6","","","",""
"212243","10-Jan-1979 09:00","116.01","6","","","",""
"212243","15-Jan-1979 09:00","115.846","6","","","",""
"212243","22-Jan-1979 09:00","115.695","6","","","",""
"212243","30-Jan-1979 09:00","115.573","6","","","",""
"212243","07-Feb-1979 09:00","115.391","6","","","",""
"212243","10-Feb-1979 09:00","115.314","6","","","",""
"212243","11-Feb-1979 09:00","115.292","6","","","",""
"212243","15-Feb-1979 09:00","115.187","6","","","",""
"212243","23-Feb-1979 09:00","115.005","6","","","",""
"212243","03-Mar-1979 09:00","114.825","6","","","",""
"212243","05-Mar-1979 09:00","114.836","6","","","",""
"212243","07-Mar-1979 09:00","114.818","6","","","",""
"212243","04-Apr-1979 09:00","114.602","6","","","",""
"212243","12-Apr-1979 09:00","114.486","6","","","",""
"212243","03-May-1979 09:00","114.203","51","","","",""
"212243","12-May-1979 09:00","114.293","51","","","",""
"212243","22-May-1979 09:00","114.201","51","","","",""
"212243","30-May-1979 09:00","114.169","4","","","",""
"212243","08-Jun-1979 09:00","114.053","4","","","",""
"212243","09-Jun-1979 09:00","114.063","4","","","",""
"212243","12-Jun-1979 09:00","114.021","4","","","",""
"212243","16-Jun-1979 09:00","113.968","4","","","",""
"212243","19-Jun-1979 09:00","113.946","4","","","",""
"212243","23-Jun-1979 09:00","114.053","4","","","",""
"212243","26-Jun-1979 09:00","114.121","4","","","",""
"212243","04-Jul-1979 09:00","114.131","6","","","",""
"212243","08-Jul-1979 09:00","114.115","6","","","",""
"212243","16-Jul-1979 09:00","114.09","6","","","",""
"212243","21-Jul-1979 09:00","114.058","6","","","",""
"212243","23-Jul-1979 09:00","114.064","6","","","",""
"212243","09-Aug-1979 09:00","114.068","6","","","",""
"212243","29-Aug-1979 09:00","113.89","6","","","",""
"212243","27-Sep-1979 09:00","113.495","6","","","",""
"212243","16-Oct-1979 09:00","113.206","6","","","",""
"212243","22-Oct-1979 09:00","113.08","6","","","",""
"212243","24-Oct-1979 09:00","113.054","10","","","",""
"212243","25-Oct-1979 09:00","113.043","10","","","",""
"212243","28-Oct-1979 09:00","112.991","10","","","",""
"212243","15-Nov-1979 09:00","112.709","10","","","",""
"212243","17-Nov-1979 09:00","112.682","10","","","",""
"212243","23-Nov-1979 09:00","112.568","6","","","",""
"212243","29-Nov-1979 09:00","112.507","6","","","",""
"212243","03-Dec-1979 09:00","112.406","6","","","",""
"212243","04-Dec-1979 09:00","112.363","6","","","",""
"212243","10-Dec-1979 09:00","112.177","6","","","",""
"212243","14-Dec-1979 09:00","112.012","6","","","",""
"212243","15-Dec-1979 09:00","111.973","6","","","",""
"212243","19-Dec-1979 09:00","111.821","4","","","",""
"212243","24-Dec-1979 09:00","111.631","4","","","",""
"212243","25-Dec-1979 09:00","111.601","4","","","",""
"212243","27-Dec-1979 09:00","111.541","4","","","",""
"212243","28-Dec-1979 09:00","111.501","4","","","",""
"212243","31-Dec-1979 09:00","111.431","4","","","",""
"212243","01-Jan-1980 09:00","111.401","4","","","",""
"212243","02-Jan-1980 09:00","111.401","4","","","",""
"212243","03-Jan-1980 09:00","111.411","4","","","",""
"212243","10-Jan-1980 09:00","111.291","4","","","",""
"212243","13-Jan-1980 09:00","111.231","4","","","",""
"212243","15-Jan-1980 09:00","111.231","4","","","",""
"212243","19-Jan-1980 09:00","111.111","4","","","",""
"212243","22-Jan-1980 09:00","111.021","4","","","",""
"212243","23-Jan-1980 09:00","110.991","4","","","",""
"212243","25-Jan-1980 09:00","110.941","4","","","",""
"212243","27-Jan-1980 09:00","110.851","4","","","",""
"212243","29-Jan-1980 09:00","110.811","4","","","",""
"212243","30-Jan-1980 09:00","110.771","4","","","",""
"212243","01-Feb-1980 09:00","110.731","4","","","",""
"212243","02-Feb-1980 09:00","110.721","4","","","",""
"212243","04-Feb-1980 09:00","110.731","4","","","",""
"212243","05-Feb-1980 09:00","110.721","4","","","",""
"212243","12-Feb-1980 09:00","110.591","4","","","",""
"212243","13-Feb-1980 09:00","110.561","4","","","",""
"212243","14-Feb-1980 09:00","110.511","4","","","",""
"212243","17-Feb-1980 09:00","110.441","4","","","",""
"212243","25-Feb-1980 09:00","110.211","4","","","",""
"212243","29-Feb-1980 09:00","110.101","4","","","",""
"212243","04-Mar-1980 09:00","109.981","4","","","",""
"212243","11-Mar-1980 09:00","109.851","4","","","",""
"212243","12-Mar-1980 09:00","109.841","4","","","",""
"212243","15-Mar-1980 09:00","109.781","4","","","",""
"212243","25-Mar-1980 09:00","109.501","4","","","",""
"212243","26-Mar-1980 09:00","109.481","4","","","",""
"212243","29-Mar-1980 09:00","109.41","4","","","",""
"212243","30-Mar-1980 09:00","109.381","4","","","",""
"212243","31-Mar-1980 09:00","109.351","4","","","",""
"212243","03-Apr-1980 09:00","109.241","4","","","",""
"212243","05-Apr-1980 09:00","109.191","4","","","",""
"212243","06-Apr-1980 09:00","109.161","4","","","",""
"212243","07-Apr-1980 09:00","109.101","4","","","",""
"212243","08-Apr-1980 09:00","109.091","4","","","",""
"212243","11-Apr-1980 09:00","109.001","4","","","",""
"212243","23-Apr-1980 09:00","108.68","4","","","",""
"212243","24-Apr-1980 09:00","108.66","4","","","",""
"212243","04-May-1980 09:00","108.47","4","","","",""
"212243","08-May-1980 09:00","108.44","4","","","",""
"212243","09-May-1980 09:00","108.45","4","","","",""
"212243","15-May-1980 09:00","108.87","4","","","",""
"212243","22-May-1980 09:00","108.791","4","","","",""
"212243","24-May-1980 09:00","108.801","4","","","",""
"212243","26-May-1980 09:00","108.751","4","","","",""
"212243","27-May-1980 09:00","108.761","4","","","",""
"212243","30-May-1980 09:00","108.861","4","","","",""
"212243","02-Jun-1980 09:00","108.911","4","","","",""
"212243","03-Jun-1980 09:00","108.901","4","","","",""
"212243","04-Jun-1980 09:00","108.901","4","","","",""
"212243","23-Jun-1980 09:00","108.901","4","","","",""
"212243","24-Jun-1980 09:00","108.891","4","","","",""
"212243","02-Jul-1980 09:00","108.861","4","","","",""
"212243","09-Jul-1980 09:00","108.811","4","","","",""
"212243","12-Jul-1980 09:00","108.761","4","","","",""
"212243","14-Jul-1980 09:00","108.751","4","","","",""
"212243","15-Jul-1980 09:00","108.751","4","","","",""
"212243","18-Jul-1980 09:00","108.711","4","","","",""
"212243","19-Jul-1980 09:00","108.701","4","","","",""
"212243","22-Jul-1980 09:00","108.651","4","","","",""
"212243","23-Jul-1980 09:00","108.631","4","","","",""
"212243","24-Jul-1980 09:00","108.611","4","","","",""
"212243","26-Jul-1980 09:00","108.641","4","","","",""
"212243","27-Jul-1980 09:00","108.651","4","","","",""
"212243","28-Jul-1980 09:00","108.641","4","","","",""
"212243","29-Jul-1980 09:00","108.631","4","","","",""
"212243","31-Jul-1980 09:00","108.631","4","","","",""
"212243","02-Aug-1980 09:00","108.621","4","","","",""
"212243","07-Aug-1980 09:00","108.561","4","","","",""
"212243","28-Aug-1980 09:00","108.221","4","","","",""
"212243","30-Aug-1980 09:00","108.191","4","","","",""
"212243","04-Sep-1980 09:00","108.071","4","","","",""
"212243","08-Sep-1980 09:00","107.971","4","","","",""
"212243","10-Sep-1980 09:00","107.891","4","","","",""
"212243","12-Sep-1980 09:00","107.831","4","","","",""
"212243","14-Sep-1980 09:00","107.771","4","","","",""
"212243","16-Sep-1980 09:00","107.691","4","","","",""
"212243","17-Sep-1980 09:00","107.661","4","","","",""
"212243","19-Sep-1980 09:00","107.631","4","","","",""
"212243","20-Sep-1980 09:00","107.591","4","","","",""
"212243","21-Sep-1980 09:00","107.571","4","","","",""
"212243","22-Sep-1980 09:00","107.531","4","","","",""
"212243","23-Sep-1980 09:00","107.511","4","","","",""
"212243","25-Sep-1980 09:00","107.461","4","","","",""
"212243","26-Sep-1980 09:00","107.411","4","","","",""
"212243","30-Sep-1980 09:00","107.241","4","","","",""
"212243","01-Oct-1980 09:00","107.191","4","","","",""
"212243","02-Oct-1980 09:00","107.161","4","","","",""
"212243","03-Oct-1980 09:00","107.131","4","","","",""
"212243","04-Oct-1980 09:00","107.121","4","","","",""
"212243","07-Oct-1980 09:00","107.041","4","","","",""
"212243","09-Oct-1980 09:00","107.001","4","","","",""
"212243","10-Oct-1980 09:00","106.961","4","","","",""
"212243","12-Oct-1980 09:00","106.901","4","","","",""
"212243","13-Oct-1980 09:00","106.911","4","","","",""
"212243","19-Oct-1980 09:00","106.741","4","","","",""
"212243","20-Oct-1980 09:00","106.731","4","","","",""
"212243","21-Oct-1980 09:00","106.741","4","","","",""
"212243","23-Oct-1980 09:00","106.721","4","","","",""
"212243","24-Oct-1980 09:00","106.721","4","","","",""
"212243","28-Oct-1980 09:00","106.671","4","","","",""
"212243","30-Oct-1980 09:00","106.621","4","","","",""
"212243","31-Oct-1980 09:00","106.611","4","","","",""
"212243","01-Nov-1980 09:00","106.561","4","","","",""
"212243","02-Nov-1980 09:00","106.541","4","","","",""
"212243","03-Nov-1980 09:00","106.521","4","","","",""
"212243","05-Nov-1980 09:00","106.431","4","","","",""
"212243","06-Nov-1980 09:00","106.421","4","","","",""
"212243","09-Nov-1980 09:00","106.371","4","","","",""
"212243","15-Nov-1980 09:00","106.241","4","","","",""
"212243","17-Nov-1980 09:00","106.181","4","","","",""
"212243","18-Nov-1980 09:00","106.171","4","","","",""
"212243","19-Nov-1980 09:00","106.141","4","","","",""
"212243","20-Nov-1980 09:00","106.081","4","","","",""
"212243","21-Nov-1980 09:00","106.031","4","","","",""
"212243","22-Nov-1980 09:00","106.011","4","","","",""
"212243","23-Nov-1980 09:00","105.991","4","","","",""
"212243","26-Nov-1980 09:00","105.881","4","","","",""
"212243","27-Nov-1980 09:00","105.851","4","","","",""
"212243","01-Dec-1980 09:00","105.701","4","","","",""
"212243","02-Dec-1980 09:00","105.671","4","","","",""
"212243","03-Dec-1980 09:00","105.651","4","","","",""
"212243","06-Dec-1980 09:00","105.61","4","","","",""
"212243","07-Dec-1980 09:00","105.571","4","","","",""
"212243","10-Dec-1980 09:00","105.501","4","","","",""
"212243","11-Dec-1980 09:00","105.471","4","","","",""
"212243","14-Dec-1980 09:00","105.361","4","","","",""
"212243","15-Dec-1980 09:00","105.301","4","","","",""
"212243","16-Dec-1980 09:00","105.231","4","","","",""
"212243","17-Dec-1980 09:00","105.201","4","","","",""
"212243","19-Dec-1980 09:00","105.091","4","","","",""
"212243","21-Dec-1980 09:00","105.041","4","","","",""
"212243","22-Dec-1980 09:00","104.991","4","","","",""
"212243","23-Dec-1980 09:00","104.931","4","","","",""
"212243","25-Dec-1980 09:00","104.861","4","","","",""
"212243","29-Dec-1980 09:00","104.691","4","","","",""
"212243","31-Dec-1980 09:00","104.67","4","","","",""
"212243","04-Jan-1981 09:00","104.551","4","","","",""
"212243","05-Jan-1981 09:00","104.551","4","","","",""
"212243","06-Jan-1981 09:00","104.531","4","","","",""
"212243","08-Jan-1981 09:00","104.511","4","","","",""
"212243","10-Jan-1981 09:00","104.481","4","","","",""
"212243","12-Jan-1981 09:00","104.451","4","","","",""
"212243","13-Jan-1981 09:00","104.411","4","","","",""
"212243","14-Jan-1981 09:00","104.381","4","","","",""
"212243","17-Jan-1981 09:00","104.291","4","","","",""
"212243","18-Jan-1981 09:00","104.251","4","","","",""
"212243","19-Jan-1981 09:00","104.221","4","","","",""
"212243","21-Jan-1981 09:00","104.161","4","","","",""
"212243","22-Jan-1981 09:00","104.131","4","","","",""
"212243","25-Jan-1981 09:00","104.071","4","","","",""
"212243","26-Jan-1981 09:00","104.071","4","","","",""
"212243","29-Jan-1981 09:00","103.991","4","","","",""
"212243","03-Feb-1981 09:00","103.841","4","","","",""
"212243","06-Feb-1981 09:00","103.871","4","","","",""
"212243","07-Feb-1981 09:00","103.941","4","","","",""
"212243","09-Feb-1981 09:00","104.031","4","","","",""
"212243","10-Feb-1981 09:00","104.031","4","","","",""
"212243","12-Feb-1981 09:00","104.051","4","","","",""
"212243","13-Feb-1981 09:00","104.121","4","","","",""
"212243","14-Feb-1981 09:00","104.161","4","","","",""
"212243","15-Feb-1981 09:00","104.181","4","","","",""
"212243","17-Feb-1981 09:00","104.191","4","","","",""
"212243","18-Feb-1981 09:00","104.191","4","","","",""
"212243","19-Feb-1981 09:00","104.241","4","","","",""
"212243","22-Feb-1981 09:00","104.411","4","","","",""
"212243","27-Feb-1981 09:00","104.471","4","","","",""
"212243","01-Mar-1981 09:00","104.461","4","","","",""
"212243","03-Mar-1981 09:00","104.471","4","","","",""
"212243","05-Mar-1981 09:00","104.481","4","","","",""
"212243","07-Mar-1981 09:00","104.471","4","","","",""
"212243","09-Mar-1981 09:00","104.421","4","","","",""
"212243","10-Mar-1981 09:00","104.431","4","","","",""
"212243","11-Mar-1981 09:00","104.381","4","","","",""
"212243","14-Mar-1981 09:00","104.301","4","","","",""
"212243","15-Mar-1981 09:00","104.281","4","","","",""
"212243","16-Mar-1981 09:00","104.241","4","","","",""
"212243","20-Mar-1981 09:00","104.141","4","","","",""
"212243","21-Mar-1981 09:00","104.091","4","","","",""
"212243","24-Mar-1981 09:00","104.021","4","","","",""
"212243","25-Mar-1981 09:00","104.001","4","","","",""
"212243","27-Mar-1981 09:00","103.951","4","","","",""
"212243","30-Mar-1981 09:00","103.871","4","","","",""
"212243","31-Mar-1981 09:00","103.849","4","","","",""
"212243","02-Apr-1981 09:00","103.815","4","","","",""
"212243","03-Apr-1981 09:00","103.803","4","","","",""
"212243","04-Apr-1981 09:00","104.151","4","","","",""
"212243","05-Apr-1981 09:00","105.14","4","","","",""
"212243","07-Apr-1981 09:00","106.136","4","","","",""
"212243","08-Apr-1981 09:00","106.274","4","","","",""
"212243","13-Apr-1981 09:00","106.485","4","","","",""
"212243","14-Apr-1981 09:00","106.503","4","","","",""
"212243","19-Apr-1981 09:00","106.515","4","","","",""
"212243","21-Apr-1981 09:00","106.501","4","","","",""
"212243","23-Apr-1981 09:00","106.458","4","","","",""
"212243","26-Apr-1981 09:00","106.432","4","","","",""
"212243","27-Apr-1981 09:00","106.46","4","","","",""
"212243","29-Apr-1981 09:00","106.441","4","","","",""
"212243","02-May-1981 09:00","106.421","4","","","",""
"212243","06-May-1981 09:00","106.401","4","","","",""
"212243","07-May-1981 09:00","106.381","4","","","",""
"212243","08-May-1981 09:00","106.391","4","","","",""
"212243","09-May-1981 09:00","106.371","4","","","",""
"212243","14-May-1981 09:00","106.351","4","","","",""
"212243","15-May-1981 09:00","106.341","4","","","",""
"212243","16-May-1981 09:00","106.331","4","","","",""
"212243","17-May-1981 09:00","106.331","4","","","",""
"212243","18-May-1981 09:00","106.311","4","","","",""
"212243","19-May-1981 09:00","106.321","4","","","",""
"212243","22-May-1981 09:00","106.301","4","","","",""
"212243","23-May-1981 09:00","106.301","4","","","",""
"212243","24-May-1981 09:00","106.621","4","","","",""
"212243","25-May-1981 09:00","106.701","4","","","",""
"212243","27-May-1981 09:00","106.791","4","","","",""
"212243","30-May-1981 09:00","106.841","4","","","",""
"212243","02-Jun-1981 09:00","106.921","4","","","",""
"212243","03-Jun-1981 09:00","106.961","4","","","",""
"212243","07-Jun-1981 09:00","107.021","4","","","",""
"212243","10-Jun-1981 09:00","107.111","4","","","",""
"212243","12-Jun-1981 09:00","107.141","4","","","",""
"212243","13-Jun-1981 09:00","107.171","4","","","",""
"212243","16-Jun-1981 09:00","107.201","4","","","",""
"212243","17-Jun-1981 09:00","107.221","4","","","",""
"212243","21-Jun-1981 09:00","107.231","4","","","",""
"212243","22-Jun-1981 09:00","107.241","4","","","",""
"212243","23-Jun-1981 09:00","107.241","4","","","",""
"212243","25-Jun-1981 09:00","107.241","4","","","",""
"212243","26-Jun-1981 09:00","107.241","4","","","",""
"212243","27-Jun-1981 09:00","107.271","4","","","",""
"212243","30-Jun-1981 09:00","107.231","4","","","",""
"212243","01-Jul-1981 09:00","107.231","4","","","",""
"212243","04-Jul-1981 09:00","107.191","4","","","",""
"212243","05-Jul-1981 09:00","107.211","4","","","",""
"212243","07-Jul-1981 09:00","107.211","4","","","",""
"212243","08-Jul-1981 09:00","107.221","4","","","",""
"212243","11-Jul-1981 09:00","107.251","4","","","",""
"212243","12-Jul-1981 09:00","107.261","4","","","",""
"212243","13-Jul-1981 09:00","107.251","4","","","",""
"212243","14-Jul-1981 09:00","107.281","4","","","",""
"212243","16-Jul-1981 09:00","107.271","4","","","",""
"212243","19-Jul-1981 09:00","107.271","4","","","",""
"212243","20-Jul-1981 09:00","107.261","4","","","",""
"212243","22-Jul-1981 09:00","107.261","4","","","",""
"212243","24-Jul-1981 09:00","107.291","4","","","",""
"212243","26-Jul-1981 09:00","107.331","4","","","",""
"212243","27-Jul-1981 09:00","107.351","4","","","",""
"212243","28-Jul-1981 09:00","107.371","4","","","",""
"212243","29-Jul-1981 09:00","107.431","4","","","",""
"212243","02-Aug-1981 09:00","107.691","4","","","",""
"212243","03-Aug-1981 09:00","107.741","4","","","",""
"212243","04-Aug-1981 09:00","107.761","4","","","",""
"212243","06-Aug-1981 09:00","107.801","4","","","",""
"212243","09-Aug-1981 09:00","107.831","4","","","",""
"212243","10-Aug-1981 09:00","107.831","4","","","",""
"212243","11-Aug-1981 09:00","107.861","4","","","",""
"212243","12-Aug-1981 09:00","107.881","4","","","",""
"212243","14-Aug-1981 09:00","107.871","4","","","",""
"212243","15-Aug-1981 09:00","107.881","4","","","",""
"212243","17-Aug-1981 09:00","107.901","4","","","",""
"212243","18-Aug-1981 09:00","107.901","4","","","",""
"212243","19-Aug-1981 09:00","107.911","4","","","",""
"212243","20-Aug-1981 09:00","107.911","4","","","",""
"212243","21-Aug-1981 09:00","107.911","4","","","",""
"212243","22-Aug-1981 09:00","107.931","4","","","",""
"212243","23-Aug-1981 09:00","107.921","4","","","",""
"212243","25-Aug-1981 09:00","107.921","4","","","",""
"212243","27-Aug-1981 09:00","107.901","4","","","",""
"212243","28-Aug-1981 09:00","107.941","4","","","",""
"212243","29-Aug-1981 09:00","107.961","4","","","",""
"212243","30-Aug-1981 09:00","107.951","4","","","",""
"212243","31-Aug-1981 09:00","107.971","4","","","",""
"212243","01-Sep-1981 09:00","107.951","4","","","",""
"212243","03-Sep-1981 09:00","107.961","4","","","",""
"212243","06-Sep-1981 09:00","107.931","4","","","",""
"212243","07-Sep-1981 09:00","107.921","4","","","",""
"212243","10-Sep-1981 09:00","107.861","4","","","",""
"212243","13-Sep-1981 09:00","107.831","4","","","",""
"212243","15-Sep-1981 09:00","107.801","4","","","",""
"212243","16-Sep-1981 09:00","107.781","4","","","",""
"212243","19-Sep-1981 09:00","107.701","4","","","",""
"212243","20-Sep-1981 09:00","107.681","4","","","",""
"212243","26-Sep-1981 09:00","107.601","4","","","",""
"212243","03-Oct-1981 09:00","107.471","4","","","",""
"212243","04-Oct-1981 09:00","107.481","4","","","",""
"212243","06-Oct-1981 09:00","107.405","4","","","",""
"212243","07-Oct-1981 09:00","107.411","4","","","",""
"212243","13-Oct-1981 09:00","107.291","4","","","",""
"212243","14-Oct-1981 09:00","107.291","4","","","",""
"212243","15-Oct-1981 09:00","107.271","4","","","",""
"212243","16-Oct-1981 09:00","107.241","4","","","",""
"212243","17-Oct-1981 09:00","107.231","4","","","",""
"212243","18-Oct-1981 09:00","107.211","4","","","",""
"212243","23-Oct-1981 09:00","107.631","4","","","",""
"212243","01-Nov-1981 09:00","107.741","4","","","",""
"212243","02-Nov-1981 09:00","107.781","4","","","",""
"212243","03-Nov-1981 09:00","108.221","4","","","",""
"212243","05-Nov-1981 09:00","108.721","4","","","",""
"212243","12-Nov-1981 09:00","109.131","4","","","",""
"212243","13-Nov-1981 09:00","109.131","4","","","",""
"212243","22-Nov-1981 09:00","109.241","4","","","",""
"212243","24-Nov-1981 09:00","109.291","4","","","",""
"212243","26-Nov-1981 09:00","109.301","4","","","",""
"212243","27-Nov-1981 09:00","109.301","4","","","",""
"212243","28-Nov-1981 09:00","109.301","4","","","",""
"212243","01-Dec-1981 09:00","109.311","4","","","",""
"212243","02-Dec-1981 09:00","109.291","4","","","",""
"212243","03-Dec-1981 09:00","109.301","4","","","",""
"212243","04-Dec-1981 09:00","109.281","4","","","",""
"212243","05-Dec-1981 09:00","109.261","4","","","",""
"212243","06-Dec-1981 09:00","109.261","4","","","",""
"212243","07-Dec-1981 09:00","109.231","4","","","",""
"212243","08-Dec-1981 09:00","109.211","4","","","",""
"212243","09-Dec-1981 09:00","109.201","4","","","",""
"212243","11-Dec-1981 09:00","109.141","4","","","",""
"212243","12-Dec-1981 09:00","109.121","4","","","",""
"212243","13-Dec-1981 09:00","109.101","4","","","",""
"212243","14-Dec-1981 09:00","109.141","4","","","",""
"212243","15-Dec-1981 09:00","109.121","4","","","",""
"212243","16-Dec-1981 09:00","109.101","4","","","",""
"212243","18-Dec-1981 09:00","109.091","4","","","",""
"212243","19-Dec-1981 09:00","109.051","4","","","",""
"212243","20-Dec-1981 09:00","109.041","4","","","",""
"212243","21-Dec-1981 09:00","109.031","4","","","",""
"212243","23-Dec-1981 09:00","109.021","4","","","",""
"212243","24-Dec-1981 09:00","109.031","4","","","",""
"212243","27-Dec-1981 09:00","109.221","4","","","",""
"212243","28-Dec-1981 09:00","109.351","4","","","",""
"212243","29-Dec-1981 09:00","109.441","4","","","",""
"212243","30-Dec-1981 09:00","109.501","4","","","",""
"212243","31-Dec-1981 09:00","109.531","4","","","",""
"212243","01-Jan-1982 09:00","109.531","4","","","",""
"212243","02-Jan-1982 09:00","109.581","4","","","",""
"212243","04-Jan-1982 09:00","109.571","4","","","",""
"212243","06-Jan-1982 09:00","109.551","4","","","",""
"212243","07-Jan-1982 09:00","109.551","4","","","",""
"212243","08-Jan-1982 09:00","109.541","4","","","",""
"212243","10-Jan-1982 09:00","109.521","4","","","",""
"212243","11-Jan-1982 09:00","109.511","4","","","",""
"212243","13-Jan-1982 09:00","109.481","4","","","",""
"212243","14-Jan-1982 09:00","109.471","4","","","",""
"212243","15-Jan-1982 09:00","109.461","4","","","",""
"212243","17-Jan-1982 09:00","109.521","4","","","",""
"212243","19-Jan-1982 09:00","109.591","4","","","",""
"212243","20-Jan-1982 09:00","109.671","51","","","",""
"212243","23-Jan-1982 09:00","109.781","4","","","",""
"212243","29-Jan-1982 09:00","109.711","4","","","",""
"212243","01-Mar-1982 09:00","109.191","4","","","",""
"212243","04-Mar-1982 09:00","109.171","4","","","",""
"212243","08-Mar-1982 09:00","109.171","4","","","",""
"212243","13-Mar-1982 09:00","109.151","4","","","",""
"212243","14-Mar-1982 09:00","109.191","4","","","",""
"212243","20-Mar-1982 09:00","109.231","4","","","",""
"212243","31-Mar-1982 09:00","109.367","4","","","",""
"212243","03-Apr-1982 09:00","109.359","4","","","",""
"212243","08-Apr-1982 09:00","109.341","4","","","",""
"212243","16-Apr-1982 09:00","109.211","4","","","",""
"212243","18-Apr-1982 09:00","109.211","4","","","",""
"212243","19-Apr-1982 09:00","109.201","4","","","",""
"212243","27-Apr-1982 09:00","109.041","4","","","",""
"212243","30-Apr-1982 09:00","108.981","4","","","",""
"212243","01-May-1982 09:00","108.961","4","","","",""
"212243","03-May-1982 09:00","108.911","4","","","",""
"212243","04-May-1982 09:00","108.901","4","","","",""
"212243","06-May-1982 09:00","108.841","4","","","",""
"212243","07-May-1982 09:00","108.831","4","","","",""
"212243","08-May-1982 09:00","108.811","4","","","",""
"212243","09-May-1982 09:00","108.801","4","","","",""
"212243","10-May-1982 09:00","108.761","4","","","",""
"212243","11-May-1982 09:00","108.741","4","","","",""
